cost,ghg,reliability
10582.387907999999,8.230505561000001,49.999999664654595
11640.626781,9.053556173999999,55.00000000000001
12698.865575999998,9.876606733,60.00000000000001
13757.104371000001,10.699657292000001,65.0
14815.343165999999,11.522707851000002,70.0
15873.581961,12.345758410000002,75.0
16931.820756,13.168808969,80.0
17990.059677,13.991859615,85.00000100603623
19048.298484,14.814910182,90.00000100603621
20106.536796,15.637960408000001,94.99999731723675
21164.775978,16.461011234,100.00000033534539
